iteration,loss,acc,binary_crossentropy,val_loss,val_acc,val_binary_crossentropy
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None False False --layer dense 32 None None ,0.7044,0.5001,0.7526,0.6933,0.5138,0.6933
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 64 None None False False --layer dense 64 None None ,0.6999,0.5014,0.7288,0.6936,0.5087,0.6936
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None True True --layer dense 32 None None ,0.7007,0.5018,0.7362,0.6951,0.4909,0.6951
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None True True --layer dense 64 None None ,7.789,0.4927,7.7424,7.835,0.489,7.835
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None True False --layer dense 32 None None ,0.7014,0.5024,0.7377,0.6945,0.5074,0.6945
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None True False --layer dense 64 None None ,0.7057,0.5003,0.7673,0.6945,0.4919,0.6945
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None False True --layer dense 32 None None ,0.7304,0.4995,0.9008,0.6938,0.5103,0.6938
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None False True --layer dense 64 None None ,7.8149,0.49,7.8137,7.7483,0.4947,7.7483
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None False False --layer dense 32 None None ,0.7137,0.5055,0.7968,0.6943,0.5017,0.6943
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True True --layer lstm 128 None None False False --layer dense 64 None None ,0.713,0.4975,0.7868,0.6948,0.5124,0.6948
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None True True --layer dense 32 None None ,0.7793,0.5016,1.0832,0.6955,0.4996,0.6955
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None True True --layer dense 64 None None ,0.9775,0.5015,1.6463,0.7039,0.5022,0.7039
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None True False --layer dense 32 None None ,0.715,0.5007,0.7838,0.6964,0.4928,0.6964
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None True False --layer dense 64 None None ,0.7213,0.5014,0.8264,0.6939,0.5004,0.6939
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None False True --layer dense 32 None None ,0.87,0.5008,1.4278,0.6952,0.4993,0.6952
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None False True --layer dense 64 None None ,0.8375,0.5024,1.2536,0.6986,0.5057,0.6986
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None False False --layer dense 32 None None ,0.7379,0.5011,0.8674,0.7008,0.489,0.7008
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 64 None None False False --layer dense 64 None None ,0.7171,0.4998,0.7818,0.7032,0.5086,0.7032
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None True True --layer dense 32 None None ,0.9992,0.5002,1.7849,0.704,0.5061,0.704
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None True True --layer dense 64 None None ,0.7722,0.5017,1.028,0.7005,0.5056,0.7005
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None True False --layer dense 32 None None ,0.8117,0.5002,1.1264,0.7006,0.5023,0.7006
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None True False --layer dense 64 None None ,0.7267,0.5001,0.8505,0.6941,0.4969,0.6941
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None False True --layer dense 32 None None ,0.7585,0.5017,1.0072,0.694,0.5075,0.694
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None False True --layer dense 64 None None ,0.9974,0.4983,1.7857,0.6959,0.5058,0.6959
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None False False --layer dense 32 None None ,7.4067,0.4942,6.5709,7.7422,0.4951,7.7423
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer simplernn 128 None None False False --layer dense 64 None None ,0.7969,0.5019,1.075,0.6959,0.5043,0.6959
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None True True --layer dense 32 None None ,0.7014,0.5019,0.7193,0.6989,0.4935,0.6989
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None True True --layer dense 64 None None ,0.7161,0.5009,0.7946,0.695,0.5062,0.695
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None True False --layer dense 32 None None ,0.7116,0.5015,0.777,0.695,0.4988,0.695
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None True False --layer dense 64 None None ,0.7102,0.5019,0.7647,0.6956,0.5028,0.6956
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None False True --layer dense 32 None None ,7.7774,0.4925,7.6535,7.8114,0.4906,7.8113
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None False True --layer dense 64 None None ,0.7246,0.5046,0.8366,0.6971,0.5036,0.6971
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None False False --layer dense 32 None None ,0.7028,0.5003,0.7355,0.6935,0.4961,0.6935
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 64 None None False False --layer dense 64 None None ,0.7094,0.5018,0.7554,0.6983,0.5072,0.6983
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None True True --layer dense 32 None None ,0.7133,0.4989,0.7822,0.6991,0.5074,0.6991
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None True True --layer dense 64 None None ,0.705,0.4993,0.7528,0.6984,0.5096,0.6984
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None True False --layer dense 32 None None ,0.7009,0.5027,0.7279,0.6935,0.4996,0.6935
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None True False --layer dense 64 None None ,0.7093,0.5017,0.7625,0.6962,0.4954,0.6962
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None False True --layer dense 32 None None ,0.7037,0.5021,0.7412,0.6936,0.5033,0.6936
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None False True --layer dense 64 None None ,0.7961,0.5013,1.1644,0.6943,0.4953,0.6943
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None False False --layer dense 32 None None ,0.7147,0.4998,0.793,0.6988,0.4904,0.6988
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer gru 128 None None False False --layer dense 64 None None ,0.7002,0.5027,0.7213,0.6932,0.5034,0.6932
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer lstm 64 None None True True --layer dense 32 None None ,0.701,0.5005,0.7317,0.6934,0.5031,0.6934
python rnn.py --dbm --epochs 1 --batch_size 128 --tensorboard --features bear heading intersection_points lat lon mag mag_kalman mag_lowess magx_kalman magx_lowess magy_kalman magy_lowess magz_kalman magz_lowess timestamp --layer simplernn 128 None None True False --layer lstm 64 None None True True --layer dense 64 None None ,0.6998,0.5008,0.7299,0.6929,0.5111,0.6929
